Barangays,Latitude,Longitude
Bagong Ilog,14.5673,121.0681
Bagong Katipunan,14.5591,121.0747
Bambang,14.5554,121.0801
Buting,14.5547,121.0672
Caniogan,14.5719,121.0779
Dela Paz,14.6154,121.0994
Kalawaan,14.5488,121.0866
Kapasigan,14.5638,121.0758
Kapitolyo,14.5692,121.0602
Malinao,14.5595,121.0787
Manggahan,14.6019,121.0937
Maybunga,14.5763,121.085
Oranbo,14.5758,121.0643
Palatiw,14.5636,121.0858
Pinagbuhatan,14.5497,121.0977
Pineda,14.5636,121.0636
Rosario,14.5885,121.0891
Sagad,14.5656,121.079
San Antonio,14.5831,121.0592
San Joaquin,14.5522,121.0758
San Jose,14.5605,121.074
San Miguel,14.5672,121.0923
San Nicolas,14.5609,121.0804
Santa Cruz,14.5629,121.0797
Santa Lucia,14.584,121.1012
Santa Rosa,14.5577,121.0711
Santo Tomas,14.5615,121.083
Santolan,14.6131,121.088
Sumilang,14.5563,121.0744
Ugong,14.5844,121.0715
